,0,1,2,3,4
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,25.0,99.0,32.0,88.0,58.0
100,25.0,99.0,32.0,88.0,58.0
101,25.0,99.0,32.0,88.0,58.0
102,25.0,99.0,32.0,88.0,58.0
103,25.0,99.0,32.0,88.0,58.0
104,25.0,99.0,32.0,88.0,58.0
105,25.0,99.0,32.0,88.0,58.0
106,25.0,99.0,32.0,88.0,58.0
107,25.0,99.0,32.0,88.0,58.0
108,25.0,99.0,32.0,88.0,58.0
109,25.0,99.0,32.0,88.0,58.0
110,25.0,99.0,32.0,88.0,58.0
111,25.0,99.0,32.0,88.0,58.0
112,25.0,99.0,32.0,88.0,58.0
113,25.0,99.0,32.0,88.0,58.0
114,25.0,99.0,32.0,88.0,58.0
115,25.0,99.0,32.0,88.0,58.0
116,25.0,99.0,32.0,88.0,58.0
117,25.0,99.0,32.0,88.0,58.0
118,25.0,99.0,32.0,88.0,58.0
119,25.0,99.0,32.0,88.0,58.0
120,25.0,99.0,32.0,88.0,58.0
121,25.0,99.0,32.0,88.0,58.0
122,25.0,99.0,32.0,88.0,58.0
123,25.0,99.0,32.0,88.0,58.0
124,25.0,99.0,32.0,88.0,58.0
125,25.0,99.0,32.0,88.0,58.0
126,25.0,99.0,32.0,88.0,58.0
127,25.0,99.0,32.0,88.0,58.0
128,25.0,99.0,32.0,88.0,58.0
129,25.0,99.0,32.0,88.0,58.0
130,25.0,99.0,32.0,88.0,58.0
131,25.0,99.0,32.0,88.0,58.0
