,0,1,2,3,4
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,5.0,93.0,21.0,81.0,77.0
100,5.0,93.0,21.0,81.0,77.0
101,5.0,93.0,21.0,81.0,77.0
102,5.0,93.0,21.0,81.0,77.0
103,5.0,93.0,21.0,81.0,77.0
104,5.0,93.0,21.0,81.0,77.0
105,5.0,93.0,21.0,81.0,77.0
106,5.0,93.0,21.0,81.0,77.0
107,5.0,93.0,21.0,81.0,77.0
108,5.0,93.0,21.0,81.0,77.0
109,5.0,93.0,21.0,81.0,77.0
110,5.0,93.0,21.0,81.0,77.0
111,5.0,93.0,21.0,81.0,77.0
112,5.0,93.0,21.0,81.0,77.0
113,5.0,93.0,21.0,81.0,77.0
114,5.0,93.0,21.0,81.0,77.0
115,5.0,93.0,21.0,81.0,77.0
116,5.0,93.0,21.0,81.0,77.0
117,5.0,93.0,21.0,81.0,77.0
118,5.0,93.0,21.0,81.0,77.0
119,5.0,93.0,21.0,81.0,77.0
120,5.0,93.0,21.0,81.0,77.0
121,5.0,93.0,21.0,81.0,77.0
122,5.0,93.0,21.0,81.0,77.0
123,5.0,93.0,21.0,81.0,77.0
124,5.0,93.0,21.0,81.0,77.0
125,5.0,93.0,21.0,81.0,77.0
126,5.0,93.0,21.0,81.0,77.0
127,5.0,93.0,21.0,81.0,77.0
128,5.0,93.0,21.0,81.0,77.0
129,5.0,93.0,21.0,81.0,77.0
130,5.0,93.0,21.0,81.0,77.0
131,5.0,93.0,21.0,81.0,77.0
