,0,1
0,1,2
1,1,3
2,4,5
3,3,5
4,5,6
5,6,7
6,8,9
7,8,5
8,8,10
9,9,11
10,4,11
11,5,12
12,11,12
13,2,12
14,3,12
15,7,13
16,11,14
17,12,15
18,13,15
19,14,16
20,12,17
21,15,17
22,16,18
23,17,19
24,18,20
25,19,19
26,15,21
27,20,22
28,21,23
29,22,24
30,23,25
31,23,25
32,26,27
33,25,28
34,27,29
35,28,17
36,30,30
37,8,30
38,26,31
39,17,31
40,29,32
41,23,32
42,31,32
43,27,33
44,15,34
45,19,36
46,35,37
47,35,37
48,33,36
49,34,37
50,34,37
51,38,39
52,37,40
53,37,38
54,30,40
55,39,41
56,40,42
57,40,42
58,41,44
59,43,43
60,34,45
61,44,46
62,45,47
63,46,48
64,46,49
65,47,49
66,42,49
67,42,49
68,45,49
69,48,50
70,49,51
71,49,52
72,51,53
73,52,54
74,53,54
75,49,54
76,49,55
77,54,56
78,54,56
79,55,57
80,56,57
81,50,58
82,56,58
83,51,59
84,54,59
85,56,59
86,56,59
87,55,60
88,59,61
89,59,61
90,60,62
91,61,62
92,63,59
93,63,64
94,63,61
95,64,65
96,38,65
97,64,66
98,49,66
99,49,66
100,62,67
101,62,59
102,63,67
103,66,68
104,65,69
105,47,69
106,49,69
107,68,70
108,69,70
109,24,71
110,70,72
111,24,72
112,71,73
113,71,74
114,70,75
115,70,75
116,69,75
117,74,77
118,76,77
119,69,77
120,75,78
121,77,79
122,78,80
123,77,80
124,77,80
125,79,81
126,68,80
127,81,82
128,77,83
129,82,84
130,83,85
131,83,85
132,84,86
133,85,87
134,86,88
135,85,89
136,85,89
137,88,90
138,89,90
139,89,91
140,90,92
141,89,92
142,89,92
143,91,93
144,92,94
145,92,94
146,93,95
147,94,96
148,80,96
149,82,96
150,94,97
151,80,98
152,80,99
153,92,100
154,94,100
155,95,96
156,96,97
157,98,100
158,99,100
159,100,101
160,92,102
161,101,102
162,100,103
163,100,104
164,103,104
165,103,105
166,100,106
167,104,105
168,10,106
169,105,107
170,105,108
171,106,107
172,108,109
173,103,110
174,109,110
175,110,111
176,110,112
177,17,113
178,32,113
179,32,114
180,27,115
181,114,115
182,68,116
183,12,117
184,75,118
185,76,118
